[03Aug2024 00:01:31.626] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: hvice has completed the challenge [Hot Tourist Destinations]
[03Aug2024 00:02:12.509] [Server thread/INFO] [APTweaks(Core)/]: [APTweaks:Core] ↑ Server load changed from VERY_LOW (avg. 15.726734161376953) to LOW (avg. 20.475830078125)
[03Aug2024 00:02:20.009] [Server thread/INFO] [APTweaks(Core)/]: [APTweaks:Core] ↓ Server load changed from LOW (avg. 20.475830078125) to VERY_LOW (avg. 16.395395278930664)
[03Aug2024 00:05:11.244] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=540, y=122, z=78} BlockPos{x=539, y=122, z=78}
[03Aug2024 00:09:33.043] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=507, y=122, z=-18} BlockPos{x=507, y=122, z=-19}
[03Aug2024 00:09:33.492] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=506, y=122, z=-19} BlockPos{x=506, y=122, z=-20}
[03Aug2024 00:09:33.992] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=506, y=121, z=-19} BlockPos{x=507, y=122, z=-20}
[03Aug2024 00:09:34.142] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=507, y=122, z=-21} BlockPos{x=507, y=123, z=-20}
[03Aug2024 00:09:35.142] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=507, y=123, z=-19} BlockPos{x=507, y=123, z=-17}
[03Aug2024 00:10:37.444] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=505, y=121, z=-63} BlockPos{x=505, y=121, z=-62}
[03Aug2024 00:10:38.046] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=505, y=120, z=-63} BlockPos{x=505, y=121, z=-64}
[03Aug2024 00:10:39.396] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=505, y=121, z=-61} BlockPos{x=505, y=120, z=-61}
[03Aug2024 00:10:47.095] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=505, y=122, z=-88} BlockPos{x=505, y=122, z=-89}
[03Aug2024 00:10:47.697] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=505, y=122, z=-90} BlockPos{x=505, y=122, z=-91}
[03Aug2024 00:10:48.296] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=505, y=121, z=-91} BlockPos{x=505, y=121, z=-92}
[03Aug2024 00:10:53.297] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=505, y=122, z=-98} BlockPos{x=505, y=122, z=-99}
[03Aug2024 00:11:00.796] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=505, y=123, z=-114} BlockPos{x=505, y=123, z=-113}
[03Aug2024 00:11:01.297] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=505, y=123, z=-115} BlockPos{x=505, y=124, z=-114}
[03Aug2024 00:11:01.446] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=505, y=124, z=-115} BlockPos{x=506, y=123, z=-115}
[03Aug2024 00:11:13.997] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=505, y=120, z=-139} BlockPos{x=505, y=121, z=-137}
[03Aug2024 00:11:22.698] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=505, y=121, z=-156} BlockPos{x=505, y=121, z=-154}
